,District,Neighborhood,Furnished,Available for Loan,Elevator,Household appliances,Air conditioning,Terrace,Washing Machine,Laundry room,Closed Garage,Parking Lot,Kitchen,Next to sea shore,Hospital,High school,Market,Police station,Gym,Primary School-Secondary School,Highway,Airport,Metro,Bus stop,Sea,City,Top floor,Ground floor,sqrt_m2,totalrooms,buildingage,floorloc,numberoffloors,bathroom_count,has_balcony,heating_grouped,distgrouped,price_updated,district_encoded,price_per_m2,security_features,water_features,cephe_yonu,toplam_cephe,sanitasyon_score,banyo_durumu,havuz_tipi,havuz_var,luxury_pool_score,is_smart_home,luxury_score,smart_home_impact
0,Tuzla,Aydınlı Mh.,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.071067811865476,2.0,7.5,5.0,13,1,0.0,natural_gas,Tuzla,3300000.0,401807.901221996,66000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
1,Fatih,Katip Kasım Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48074069840786,2.0,35.0,0.0,30,1,0.0,underfloor,Fatih,4140000.0,527925.2457372117,98571.42857142857,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2,Çekmeköy,Çatalmeşe Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.416198487095663,2.0,1.0,-1.0,7,1,0.0,natural_gas,Çekmeköy,3060000.0,378758.4229607251,55636.36363636364,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
3,Çekmeköy,Mehmet Akif Ersoy Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.874007874011811,2.0,0.0,1.0,5,1,0.0,natural_gas,Çekmeköy,4100000.0,378758.4229607251,66129.03225806452,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
4,Küçükçekmece,Halkalı Merkez Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.366600265340756,2.0,7.5,0.5,4,1,0.0,natural_gas,Küçükçekmece,3000000.0,449917.38307349663,42857.142857142855,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
5,Ümraniye,Çakmak Mh.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06225774829855,2.0,3.0,0.5,5,1,1.0,natural_gas,Ümraniye,3600000.0,460973.1654450262,55384.61538461538,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
6,Silivri,Yeni Mah.,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.660254037844387,3.0,13.0,2.0,10,2,0.0,natural_gas,Silivri,3940000.0,330578.6200640341,52533.333333333336,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
7,Esenyurt,Yeşilkent Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.874007874011811,2.0,7.5,4.0,20,1,1.0,other,Esenyurt,3540000.0,280980.89225941425,57096.77419354839,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
8,Esenyurt,Turgut Özal Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2.0,7.5,6.0,19,1,1.0,other,Esenyurt,8520000.0,280980.89225941425,133125.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
9,Arnavutköy,Anadolu Mah.,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.660254037844387,2.0,0.0,1.0,4,1,0.0,natural_gas,Arnavutköy,3340000.0,298698.1409736308,44533.333333333336,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
