OTOPARK ADI;LOKASYON ADI;PARK TÝPÝ;PARK TÝPÝ TANIMI;PARK KAPASÝTESÝ;ÇALIÞMA ZAMANI;BULUNDUÐU ÝLÇE;BOYLAM;ENLEM
Alibeyköy Cep Otogarý Otobüs Otoparký;Alibeyköy Cep Otogarý Otobüs Otopark;AÇIK OTOPARK;AÇIK OTOPARK;5000;24 Saat;EYÜP;28.9451551437378;41.0876321246792
Alibeyköy Cep Otogarý P+R;Alibeyköy Cep Otogarý P+;AÇIK OTOPARK;AÇIK OTOPARK;88;24 Saat;EYÜP;28.9423878505096;41.08823151328
Eyüp Tekke Parký;Eyüp Tekke Park;AÇIK OTOPARK;AÇIK OTOPARK;70;08:00-19:00;EYÜP;28.9397962457675;41.0564862110081
Eyüp Ýstanbul Caddesi 4;Eyüp Ýstanbul Caddes;YOL ÜSTÜ;YOL ÜSTÜ;40;09:00-19:00;EYÜP;28.8898819017231;41.1764729732221
Alibeyköy Cep Otogarý Otobüs Otoparký;Alibeyköy Cep Otogarý Otobüs Otopark;AÇIK OTOPARK;AÇIK OTOPARK;116;24 Saat;EYÜP;28.9449815819485;41.0877762255869
Eyüp Pierloti Caddesi 1;Eyüp Pierloti Caddes;YOL ÜSTÜ;YOL ÜSTÜ;40;08:00-00:00;EYÜP;28.9330016712335;41.0541552941076
Feshane P+R Açýk Otoparký;Feshane P+R Açýk Otopark;AÇIK OTOPARK;AÇIK OTOPARK;200;24 Saat;EYÜP;28.9376096544914;41.046326666597
Alibeyköy Cep Otogarý P+R;Alibeyköy Cep Otogarý P+;AÇIK OTOPARK;AÇIK OTOPARK;88;24 Saat;EYÜP;28.9422369003296;41.0878908883406
Alibeyköy Yeþiltepe Zemin Altý Otoparký;Alibeyköy Yeþiltepe Zemin Altý Otopark;KAPALI OTOPARK;KAPALI OTOPARK;159;24 Saat;EYÜP;28.9384609099211;41.0793200794339
Eyüpsultan Akþemsettin Mahallesi Zemin Altý Otoparký;Eyüpsultan Akþemsettin Mahallesi Zemin Altý Otopark;KAPALI OTOPARK;KAPALI OTOPARK;110;24 Saat;EYÜP;28.9258415975185;41.0850632353534
Eyüp Silahtaraða Açýk Otoparký;Eyüp Silahtaraða Açýk Otopark;AÇIK OTOPARK;AÇIK OTOPARK;350;24 Saat;EYÜP;28.9414952399064;41.0648623184837
Feshane P+R Açýk Otoparký;Feshane P+R Açýk Otopark;AÇIK OTOPARK;AÇIK OTOPARK;200;24 Saat;EYÜP;28.937658213568;41.0462634409545
Eyüp Ýstanbul Caddesi 1;Eyüp Ýstanbul Caddes;YOL ÜSTÜ;YOL ÜSTÜ;40;09:00-19:00;EYÜP;28.8834084558235;41.1793733766854
Eyüp Ýstanbul Caddesi 3;Eyüp Ýstanbul Caddes;YOL ÜSTÜ;YOL ÜSTÜ;40;09:00-19:00;EYÜP;28.8844409943035;41.1783602003273
Eyüp Ýstanbul Caddesi 5;Eyüp Ýstanbul Caddes;YOL ÜSTÜ;YOL ÜSTÜ;40;09:00-19:00;EYÜP;28.8901048441369;41.1764864031846
Alibeyköy Cep Otogarý Açýk Otoparký;Alibeyköy Cep Otogarý Açýk Otopark;AÇIK OTOPARK;AÇIK OTOPARK;116;24 Saat;EYÜP;28.9445382356644;41.0877898089066
Alibeyköy Cep Otogarý Açýk Otoparký;Alibeyköy Cep Otogarý Açýk Otopark;AÇIK OTOPARK;AÇIK OTOPARK;400;24 Saat;EYÜP;28.944418112968;41.0876029931356
Alibeyköy Cep Otogarý Taksi Duraðý;Alibeyköy Cep Otogarý Taksi Durað;TAKSÝ PARK;TAKSÝ PARK;20;24 Saat;EYÜP;28.9447433064985;41.0881731777381
Belgrad Ormaný Kurt Kemeri Giriþi Otoparký;Belgrad Ormaný Kurt Kemeri Giriþi Otopark;AÇIK OTOPARK;AÇIK OTOPARK;5000;06:00-00:00;EYÜP;28.9196677863534;41.1967928344884
Belgrad Ormaný Kurt Kemeri Giriþi Otoparký;Belgrad Ormaný Kurt Kemeri Giriþi Otopark;AÇIK OTOPARK;AÇIK OTOPARK;5000;06:00-00:00;EYÜP;28.9205176741653;41.1970264007371
